,Unnamed: 0,File_name,URL,start_time,end_time,class,len,path
0,0,2XwBQJ7eHKs_055962-056391,2XwBQJ7eHKs,559.62,563.92,ALG,4.2999999999999545,data/2XwBQJ7eHKs_055962-056391.wav
1,1,2XwBQJ7eHKs_056439-057583,2XwBQJ7eHKs,564.39,575.83,ALG,11.440000000000055,data/2XwBQJ7eHKs_056439-057583.wav
2,2,2XwBQJ7eHKs_057651-057966,2XwBQJ7eHKs,576.51,579.67,ALG,3.159999999999968,data/2XwBQJ7eHKs_057651-057966.wav
3,3,2XwBQJ7eHKs_058065-058854,2XwBQJ7eHKs,580.65,588.55,ALG,7.899999999999977,data/2XwBQJ7eHKs_058065-058854.wav
4,4,2XwBQJ7eHKs_058920-059636,2XwBQJ7eHKs,589.2,596.36,ALG,7.159999999999968,data/2XwBQJ7eHKs_058920-059636.wav
5,5,2XwBQJ7eHKs_000027-000893,2XwBQJ7eHKs,0.27,8.93,ALG,8.66,data/2XwBQJ7eHKs_000027-000893.wav
6,6,2XwBQJ7eHKs_000930-001286,2XwBQJ7eHKs,9.3,12.86,ALG,3.5599999999999987,data/2XwBQJ7eHKs_000930-001286.wav
7,7,2XwBQJ7eHKs_001386-002228,2XwBQJ7eHKs,13.86,22.28,ALG,8.420000000000002,data/2XwBQJ7eHKs_001386-002228.wav
8,8,2XwBQJ7eHKs_002445-003185,2XwBQJ7eHKs,24.45,31.85,ALG,7.400000000000002,data/2XwBQJ7eHKs_002445-003185.wav
9,9,2XwBQJ7eHKs_003243-003953,2XwBQJ7eHKs,32.43,39.53,ALG,7.100000000000001,data/2XwBQJ7eHKs_003243-003953.wav
10,10,2XwBQJ7eHKs_005944-006709,2XwBQJ7eHKs,59.44,67.1,ALG,7.659999999999997,data/2XwBQJ7eHKs_005944-006709.wav
11,11,2XwBQJ7eHKs_006773-007458,2XwBQJ7eHKs,67.74,74.58,ALG,6.840000000000003,data/2XwBQJ7eHKs_006773-007458.wav
12,12,2XwBQJ7eHKs_007953-008453,2XwBQJ7eHKs,79.53,84.53,ALG,5.0,data/2XwBQJ7eHKs_007953-008453.wav
13,13,2XwBQJ7eHKs_008808-011950,2XwBQJ7eHKs,88.08,119.5,ALG,31.42,data/2XwBQJ7eHKs_008808-011950.wav
14,14,2XwBQJ7eHKs_012018-012496,2XwBQJ7eHKs,120.18,124.96,ALG,4.779999999999987,data/2XwBQJ7eHKs_012018-012496.wav
15,15,2XwBQJ7eHKs_013041-013631,2XwBQJ7eHKs,130.41,136.31,ALG,5.900000000000006,data/2XwBQJ7eHKs_013041-013631.wav
16,16,2XwBQJ7eHKs_013983-014353,2XwBQJ7eHKs,139.83,143.53,ALG,3.6999999999999886,data/2XwBQJ7eHKs_013983-014353.wav
17,17,2XwBQJ7eHKs_015591-016159,2XwBQJ7eHKs,155.91,161.59,ALG,5.680000000000007,data/2XwBQJ7eHKs_015591-016159.wav
18,18,2XwBQJ7eHKs_016203-017253,2XwBQJ7eHKs,162.03,172.53,ALG,10.5,data/2XwBQJ7eHKs_016203-017253.wav
19,19,2XwBQJ7eHKs_017676-018286,2XwBQJ7eHKs,176.76,182.86,ALG,6.100000000000023,data/2XwBQJ7eHKs_017676-018286.wav
