,Unnamed: 0,File_name,URL,start_time,end_time,class,len,path
0,0,1KidT1HxOyI_001677-002032,1KidT1HxOyI,16.77,20.33,ALG,3.5599999999999987,data/1KidT1HxOyI_001677-002032.wav
1,1,1KidT1HxOyI_002032-003686,1KidT1HxOyI,20.33,36.87,ALG,16.54,data/1KidT1HxOyI_002032-003686.wav
2,2,1dPz4C07nUA_015609-015972,1dPz4C07nUA,156.09,159.73,ALG,3.6399999999999864,data/1dPz4C07nUA_015609-015972.wav
3,3,3K6iXOEIIeM_000027-000476,3K6iXOEIIeM,0.27,4.77,ALG,4.5,data/3K6iXOEIIeM_000027-000476.wav
4,4,3K6iXOEIIeM_000555-002279,3K6iXOEIIeM,5.55,22.79,ALG,17.24,data/3K6iXOEIIeM_000555-002279.wav
5,5,3K6iXOEIIeM_002364-002674,3K6iXOEIIeM,23.64,26.74,ALG,3.099999999999998,data/3K6iXOEIIeM_002364-002674.wav
6,6,3K6iXOEIIeM_002715-015355,3K6iXOEIIeM,27.15,153.55,ALG,126.4,data/3K6iXOEIIeM_002715-015355.wav
7,7,3K6iXOEIIeM_017094-020988,3K6iXOEIIeM,170.94,209.88,ALG,38.94,data/3K6iXOEIIeM_017094-020988.wav
8,8,3K6iXOEIIeM_021072-022708,3K6iXOEIIeM,210.72,227.08,ALG,16.360000000000014,data/3K6iXOEIIeM_021072-022708.wav
9,9,3K6iXOEIIeM_029961-031125,3K6iXOEIIeM,299.61,311.25,ALG,11.639999999999986,data/3K6iXOEIIeM_029961-031125.wav
10,10,3K6iXOEIIeM_031383-033867,3K6iXOEIIeM,313.83,338.67,ALG,24.840000000000032,data/3K6iXOEIIeM_031383-033867.wav
11,11,3K6iXOEIIeM_037252-037854,3K6iXOEIIeM,372.52,378.54,ALG,6.020000000000039,data/3K6iXOEIIeM_037252-037854.wav
12,12,3K6iXOEIIeM_038115-038421,3K6iXOEIIeM,381.15,384.21,ALG,3.0600000000000023,data/3K6iXOEIIeM_038115-038421.wav
13,13,3K6iXOEIIeM_038544-039058,3K6iXOEIIeM,385.44,390.58,ALG,5.139999999999986,data/3K6iXOEIIeM_038544-039058.wav
14,14,3K6iXOEIIeM_039189-039833,3K6iXOEIIeM,391.89,398.33,ALG,6.439999999999998,data/3K6iXOEIIeM_039189-039833.wav
15,15,3K6iXOEIIeM_039918-041064,3K6iXOEIIeM,399.18,410.64,ALG,11.45999999999998,data/3K6iXOEIIeM_039918-041064.wav
16,16,3K6iXOEIIeM_041364-042576,3K6iXOEIIeM,413.64,425.76,ALG,12.120000000000005,data/3K6iXOEIIeM_041364-042576.wav
17,17,3K6iXOEIIeM_042657-043605,3K6iXOEIIeM,426.57,436.05,ALG,9.480000000000018,data/3K6iXOEIIeM_042657-043605.wav
18,18,3K6iXOEIIeM_043710-044382,3K6iXOEIIeM,437.1,443.82,ALG,6.71999999999997,data/3K6iXOEIIeM_043710-044382.wav
19,19,3K6iXOEIIeM_044484-044994,3K6iXOEIIeM,444.84,449.94,ALG,5.100000000000023,data/3K6iXOEIIeM_044484-044994.wav
20,20,3K6iXOEIIeM_045345-051401,3K6iXOEIIeM,453.45,514.01,ALG,60.56,data/3K6iXOEIIeM_045345-051401.wav
21,21,3K6iXOEIIeM_052080-053997,3K6iXOEIIeM,520.81,539.97,ALG,19.160000000000082,data/3K6iXOEIIeM_052080-053997.wav
22,22,3K6iXOEIIeM_054102-057370,3K6iXOEIIeM,541.02,573.7,ALG,32.680000000000064,data/3K6iXOEIIeM_054102-057370.wav
23,23,3K6iXOEIIeM_057462-058741,3K6iXOEIIeM,574.62,587.42,ALG,12.799999999999955,data/3K6iXOEIIeM_057462-058741.wav
24,24,3K6iXOEIIeM_064863-070965,3K6iXOEIIeM,648.63,709.65,ALG,61.01999999999998,data/3K6iXOEIIeM_064863-070965.wav
25,25,3K6iXOEIIeM_074289-074759,3K6iXOEIIeM,742.89,747.59,ALG,4.7000000000000455,data/3K6iXOEIIeM_074289-074759.wav
26,26,3K6iXOEIIeM_074862-075192,3K6iXOEIIeM,748.62,751.92,ALG,3.2999999999999545,data/3K6iXOEIIeM_074862-075192.wav
27,27,3K6iXOEIIeM_075273-076335,3K6iXOEIIeM,752.73,763.35,ALG,10.620000000000005,data/3K6iXOEIIeM_075273-076335.wav
28,28,3K6iXOEIIeM_076563-076885,3K6iXOEIIeM,765.63,768.85,ALG,3.2200000000000273,data/3K6iXOEIIeM_076563-076885.wav
29,29,3K6iXOEIIeM_079707-080175,3K6iXOEIIeM,797.07,801.75,ALG,4.67999999999995,data/3K6iXOEIIeM_079707-080175.wav
